time,lat,lon,depth,station,profile,temp,cond,sal,dens,flu,par_z,par_surface,light_level,bbp_470,bbp_700,kpar,ed412,ed442,ed488,ed490,ed510,ed530,ed550,ed554,ed560,ed620,ed664,ed666,ed670,ed678,ed682,ed708,ed748,ed754,ed760,ed764,ed778,lu412,lu442,lu488,lu490,lu510,lu530,lu550,lu554,lu560,lu620,lu664,lu666,lu670,lu678,lu682,lu708,lu748,lu754,lu760,lu764,lu778,es412,es442,es488,es490,es510,es530,es550,es554,es560,es620,es664,es666,es670,es678,es682,es708,es748,es754,es760,es764,es778
2021-11-24T21:18:28.000Z,19.64,-138.62,15,4,1,23.59,52.16,35.43,1024.16,,389.04,1404.01,26.56,,,0.14,54.75,62.93,67.8,67.23,52.12,42.74,34.45,32.62,30.11,1.27,0.31,0.3,0.26,0.15,0.07,0.07,0,0,0,0,0.11,1.467,1.295,0.924,0.89,0.39,0.229,0.136,0.12,0.103,0.006,0.004,0.002,0.003,0.003,0.005,0.002,0.001,0,0,0,0,84.53,98.69,109.81,110.23,110.07,110.78,111.12,110.68,109.19,102.18,97.44,97.96,98.02,97.1,94.54,87.74,83.8,77.82,57.48,56.02,79.14
2021-11-24T21:18:31.000Z,19.64,-138.62,16,4,1,23.59,52.17,35.44,1024.16,0.036,366.06,1513.93,24.99,0.00014,0.0004,0.01,53,60.63,64.84,64.24,48.85,39.3,31.12,29.41,26.92,1.02,0.2,0.16,0.17,0.19,0.14,0.09,0,0.08,0.06,0,0,1.441,1.273,0.906,0.871,0.374,0.215,0.127,0.112,0.095,0.006,0.004,0.004,0.006,0.004,0.006,0.001,0.001,0,0.002,0,0,90.07,105.62,118.07,118.5,118.5,119.35,119.92,119.43,117.85,110.53,105.58,106.18,106.21,105.16,102.46,95.14,90.96,84.48,62.41,60.74,85.78
2021-11-24T21:18:33.000Z,19.64,-138.62,17,4,1,23.59,52.17,35.44,1024.17,0.036,389.53,1629.86,26.6,0.00016,0.00042,-0.15,56.46,64.9,69.5,68.81,52.09,41.62,32.81,30.94,28.32,1.07,0.24,0.22,0.17,0.16,0.16,0,0,0,0,0,0.06,1.508,1.336,0.956,0.92,0.394,0.228,0.134,0.117,0.099,0.006,0.005,0.003,0.005,0.005,0.004,0,0,0,0,0,0.001,95.87,112.74,126.49,127.04,127.27,128.35,129.02,128.57,126.85,119.38,114.37,115,115.03,113.91,111.07,103.16,98.67,91.77,67.72,65.98,93.21
2021-11-24T21:18:36.000Z,19.64,-138.62,18,4,1,23.59,52.17,35.43,1024.17,0.031,468.9,1690.13,32.02,0.00015,0.00042,0.07,68.16,79.53,85.88,84.99,63.05,49.37,38.05,35.72,32.45,1.06,0.22,0.17,0.19,0.15,0.15,0.09,0,0,0.09,0.06,0,1.638,1.464,1.054,1.014,0.431,0.248,0.144,0.126,0.108,0.006,0.003,0.001,0.004,0.006,0.004,0,0,0,0,0,0,98.62,116.13,130.64,131.22,131.59,132.91,133.79,133.37,131.53,124.15,119.21,119.81,119.89,118.8,115.84,107.81,103.18,95.92,70.97,69.1,97.69
2021-11-24T21:18:38.000Z,19.64,-138.62,19,4,1,23.58,52.16,35.42,1024.17,0.031,486.07,1881,33.19,0.00008,0.00043,0.03,70.69,82.64,89.47,88.57,65.34,50.94,39.2,36.75,33.32,1.05,0.24,0.18,0.21,0.13,0.14,0,0,0,0.03,0,0,1.797,1.624,1.182,1.138,0.481,0.273,0.158,0.139,0.119,0.005,0.003,0.003,0.004,0.007,0.005,0.001,0.001,0.001,0,0,0,108.16,128.06,144.89,145.54,146.15,147.82,148.91,148.47,146.58,138.69,133.36,134.12,134.2,132.96,129.58,120.95,115.93,107.7,79.84,77.82,109.85
2021-11-24T21:18:41.000Z,19.64,-138.62,20,4,1,23.58,52.16,35.43,1024.18,0.041,501.49,1991.86,34.24,0.00011,0.00047,-0.03,73.46,86.08,93.22,92.25,67.3,52.04,39.61,37.01,33.46,0.93,0.23,0.23,0.14,0.14,0.12,0.11,0.06,0.04,0,0,0,1.826,1.657,1.213,1.167,0.492,0.279,0.161,0.143,0.121,0.006,0.003,0.002,0.005,0.007,0.004,0,0,0,0,0,0,113.71,135,153.08,153.75,154.66,156.44,157.77,157.32,155.36,147.15,141.58,142.31,142.47,141.24,137.78,128.56,123.27,114.66,85.01,82.92,116.87
2021-11-24T21:18:44.000Z,19.64,-138.62,21,4,1,23.59,52.19,35.45,1024.19,0.04,501.33,1930.32,34.23,0.00011,0.00041,-0.04,75.05,88.03,95.02,93.94,66.83,50.6,37.6,34.87,31.3,0.79,0.24,0.23,0.14,0.11,0.11,0,0,0,0,0.08,0,1.865,1.699,1.245,1.198,0.492,0.274,0.154,0.135,0.114,0.007,0.005,0.003,0.005,0.005,0.005,0,0,0,0,0,0.002,110.53,131.01,148.4,149.07,149.87,151.63,152.88,152.39,150.55,142.58,137.15,137.88,137.88,136.71,133.27,124.46,119.36,110.97,82.16,80.21,113.06
2021-11-24T21:18:46.000Z,19.64,-138.62,22,4,1,23.59,52.18,35.44,1024.2,0.039,474.12,1759,32.37,0.00013,0.00049,0.01,71.58,83.74,90.15,89.12,63,47.34,35.03,32.44,29.09,0.8,0.14,0.21,0.15,0.18,0.22,0,0.07,0.11,0.17,0.12,0,1.787,1.627,1.192,1.146,0.466,0.258,0.145,0.126,0.108,0.006,0.004,0.003,0.004,0.007,0.007,0,0.001,0,0.001,0,0.001,101.55,120.05,135.59,136.12,136.63,138.12,139.25,138.74,137.06,129.66,124.65,125.25,125.36,124.15,121.08,112.93,108.34,100.64,74.61,72.61,102.57
2021-11-24T21:18:48.000Z,19.64,-138.62,23,4,1,23.59,52.2,35.46,1024.21,0.036,496.26,1868.05,33.88,0.00016,0.00044,0.04,75.43,88.64,95.53,94.35,65.75,48.75,35.56,32.85,29.32,0.82,0.23,0.22,0.2,0.14,0.14,0,0,0,0.06,0,0.1,1.762,1.607,1.181,1.135,0.462,0.257,0.144,0.126,0.106,0.004,0.005,0.004,0.004,0.006,0.005,0,0,0,0,0.001,0,107.62,127.41,144,144.57,145.23,146.76,147.88,147.43,145.62,137.68,132.25,132.99,132.95,131.85,128.49,119.76,114.79,106.6,79.02,77.01,108.61
2021-11-24T21:18:51.000Z,19.64,-138.62,24,4,1,23.59,52.19,35.45,1024.21,0.037,448.75,1759.71,30.64,0.00008,0.00042,0.08,69.33,81.22,87.04,85.93,59.02,43.25,31.18,28.77,25.6,0.65,0.17,0.15,0.12,0.14,0.13,0,0,0,0.07,0,0.05,1.652,1.504,1.1,1.058,0.426,0.234,0.132,0.114,0.098,0.005,0.004,0.003,0.004,0.005,0.005,0.001,0,0,0.001,0,0,102.66,121.1,136.27,136.81,137.23,138.41,139.37,138.84,137.1,129.12,123.93,124.67,124.68,123.45,120.27,112.05,107.24,99.69,73.86,71.88,101.41
2021-11-24T21:18:53.000Z,19.64,-138.62,25,4,1,23.59,52.2,35.45,1024.22,0.041,396.72,1683.83,27.09,0.00013,0.00042,0.27,63.02,73.33,77.77,76.7,51.44,36.96,26.16,24.01,21.18,0.52,0.12,0.11,0.1,0.12,0.16,0,0,0,0,0,0,1.524,1.387,1.012,0.972,0.386,0.211,0.117,0.102,0.087,0.006,0.003,0.002,0.005,0.005,0.007,0.002,0.001,0,0.001,0,0,98.78,116.32,130.56,131.08,131.38,132.58,133.33,132.85,131.1,123.47,118.35,118.98,118.99,117.84,114.83,106.81,102.29,95.02,70.27,68.42,96.69
2021-11-24T21:18:56.000Z,19.64,-138.62,26,4,1,23.59,52.17,35.43,1024.2,0.036,334,1854.41,22.81,0.00012,0.0004,-0.01,54.3,62.61,65.65,64.71,42.85,30.4,21.25,19.47,17.12,0.42,0.13,0.15,0.11,0.08,0,0,0,0,0,0,0,1.338,1.209,0.876,0.84,0.327,0.175,0.095,0.084,0.071,0.005,0.003,0.003,0.004,0.005,0.004,0,0,0,0.001,0,0,107.13,126.73,143.08,143.66,144.38,145.86,146.99,146.47,144.64,136.5,131.05,131.73,131.77,130.63,127.24,118.63,113.55,105.47,78.2,76.18,107.54
2021-11-24T21:18:58.000Z,19.64,-138.62,27,4,1,23.59,52.18,35.44,1024.22,0.036,343.45,1895.98,23.45,0.00012,0.0004,0.01,55.96,64.9,68.29,67.28,43.83,30.72,21.22,19.37,16.94,0.49,0.11,0.15,0.1,0,0,0.1,0,0,0,0,0,1.318,1.196,0.868,0.833,0.323,0.172,0.094,0.083,0.07,0.002,0.004,0.004,0.004,0.004,0.002,0,0,0.001,0,0,0,108.88,129.18,146.01,146.66,147.48,149.02,150.15,149.72,147.88,139.84,134.3,135.04,135.11,133.96,130.58,121.74,116.54,108.37,80.29,78.31,110.35
2021-11-24T21:19:00.000Z,19.64,-138.62,28,4,1,23.59,52.18,35.44,1024.22,0.04,334.55,1864.63,22.84,0.00008,0.0004,0,54.8,63.78,67.11,66.07,42.46,29.47,20.08,18.27,15.9,0.44,0.09,0.1,0.08,0,0.08,0,0,0,0,0,0,1.304,1.187,0.866,0.832,0.317,0.167,0.091,0.08,0.068,0.003,0.002,0,0.004,0.004,0.004,0.001,0,0.001,0,0,0,107.45,127.31,143.71,144.33,145.06,146.52,147.75,147.19,145.39,137.42,131.84,132.59,132.7,131.45,128.27,119.56,114.39,106.34,78.85,76.85,108.34
2021-11-24T21:19:03.000Z,19.64,-138.62,29,4,1,23.59,52.18,35.44,1024.22,0.039,324.74,1815.51,22.17,0.00007,0.00042,0.04,53.8,62.58,65.6,64.55,40.96,27.89,18.73,17.03,14.71,0.45,0.06,0.11,0,0.08,0.09,0,0,0,0,0,0.02,1.263,1.148,0.838,0.805,0.304,0.159,0.087,0.076,0.064,0.004,0.001,0,0.003,0.004,0.003,0.001,0,0,0,0,0,105.03,124.1,140.07,140.68,141.28,142.69,143.78,143.3,141.5,133.75,128.36,129.1,129.11,127.93,124.74,116.18,111.35,103.46,76.62,74.71,105.3
2021-11-24T21:19:05.000Z,19.64,-138.62,30,4,1,23.59,52.17,35.43,1024.22,0.037,318.94,1858.38,21.78,0.00008,0.0004,-0.03,53.32,62.05,64.95,63.87,39.94,26.9,17.82,16.13,13.92,0.39,0.1,0.15,0.16,0.06,0.05,0.09,0,0,0,0,0,1.229,1.12,0.818,0.785,0.294,0.153,0.083,0.073,0.062,0.003,0.001,0.002,0.002,0.002,0.002,0.001,0,0,0,0,0,107.06,126.8,143.23,143.87,144.68,146.05,147.14,146.71,144.89,136.93,131.49,132.23,132.3,131.11,127.89,119.08,114.13,106.04,78.53,76.58,107.87
2021-11-24T21:19:08.000Z,19.64,-138.62,31,4,1,23.59,52.17,35.43,1024.23,0.036,322.34,1818.65,22.01,0.0002,0.00042,-0.07,53.91,62.9,66.06,64.97,40.24,26.89,17.7,16,13.82,0.42,0.07,0,0.17,0.08,0.06,0.06,0,0.07,0,0,0,1.221,1.12,0.82,0.787,0.293,0.154,0.082,0.073,0.062,0.005,0,0.001,0.003,0.002,0.003,0,0,0,0,0,0,105.14,124.29,140.35,140.93,141.58,143.03,143.99,143.58,141.67,133.97,128.5,129.28,129.38,128.09,124.86,116.41,111.36,103.5,76.63,74.68,105.28
2021-11-24T21:19:10.000Z,19.64,-138.62,32,4,1,23.59,52.19,35.44,1024.24,0.036,319.11,1682.21,21.79,0.0001,0.00043,0.06,53.9,63,66.11,64.96,39.45,25.93,16.8,15.1,12.95,0.39,0.1,0,0.11,0.04,0,0,0,0,0,0,0.11,1.233,1.138,0.839,0.805,0.299,0.154,0.083,0.072,0.061,0.004,0.001,0.001,0.004,0.004,0.004,0,0,0.001,0,0.002,0.001,98.39,115.96,130.3,130.83,131.18,132.41,133.21,132.75,130.94,123.42,118.39,119.06,119.02,117.94,114.93,106.84,102.28,95.02,70.4,68.49,96.71
2021-11-24T21:19:12.000Z,19.64,-138.62,33,4,1,23.59,52.19,35.45,1024.25,0.041,294.2,1652.42,20.09,0.00006,0.00055,-0.07,50.2,58.53,61.11,60.02,36.09,23.53,15.07,13.51,11.48,0.35,0.1,0.06,0,0,0,0,0,0,0,0.06,0,1.213,1.122,0.832,0.798,0.295,0.152,0.082,0.071,0.061,0.003,0.001,0.002,0.003,0.004,0.004,0,0,0,0.002,0,0,97.29,114.42,128.25,128.76,128.97,130.17,130.78,130.33,128.61,121.1,115.87,116.52,116.63,115.46,112.55,104.56,100.03,93.05,68.9,67.13,94.73
2021-11-24T21:19:14.000Z,19.64,-138.62,34,4,1,23.59,52.18,35.44,1024.24,0.043,288.54,1518.47,19.7,0.00006,0.00045,0,49.41,57.77,60.38,59.29,35.19,22.59,14.34,12.83,10.92,0.34,0.08,0.02,0,0,0.11,0,0,0,0,0,0,1.121,1.037,0.768,0.736,0.268,0.137,0.074,0.063,0.054,0.003,0.001,0.002,0.003,0.004,0.003,0,0,0,0,0,0,90.48,105.93,118.17,118.63,118.76,119.64,120.15,119.67,118.08,110.8,105.98,106.6,106.79,105.65,102.97,95.64,91.51,85.01,62.89,61.18,86.5
2021-11-24T21:19:17.000Z,19.64,-138.62,35,4,1,23.59,52.18,35.43,1024.24,0.048,259.3,1360.56,17.71,0.00006,0.00043,0.17,45.09,52.63,54.61,53.59,31.16,19.54,12.27,10.89,9.2,0.25,0,0.05,0.03,0.08,0.1,0,0,0,0,0,0,1.033,0.954,0.703,0.675,0.243,0.123,0.067,0.058,0.048,0.002,0.001,0.003,0.004,0.003,0.004,0,0,0,0,0,0,82.35,95.79,106.34,106.72,106.53,107.25,107.55,107.12,105.64,98.92,94.56,95.08,95.12,94.12,91.71,85.13,81.48,75.66,55.79,54.33,76.83
2021-11-24T21:19:19.000Z,19.64,-138.62,36,4,1,23.59,52.19,35.45,1024.26,0.042,221.8,1373.1,15.14,0.0001,0.00039,0.04,39.37,45.6,46.71,45.79,26.23,16.33,10.03,8.89,7.5,0.16,0,0,0.08,0,0,0,0,0.05,0,0,0,0.939,0.865,0.637,0.611,0.216,0.107,0.057,0.051,0.043,0.002,0,0.001,0.002,0,0.003,0.002,0,0,0,0,0,82.95,96.6,107.35,107.73,107.52,108.18,108.57,108.04,106.66,100.01,95.4,95.92,95.93,94.94,92.55,85.91,82.26,76.3,56.34,54.82,77.49
2021-11-24T21:19:21.000Z,19.64,-138.62,37,4,1,23.59,52.2,35.45,1024.27,0.036,200.29,1287.66,13.68,0.00013,0.00041,-0.05,36.03,41.6,42.38,41.56,23.33,14.32,8.64,7.62,6.42,0.18,0.08,0,0,0,0.15,0,0,0,0,0,0,0.847,0.781,0.575,0.551,0.192,0.095,0.05,0.045,0.037,0.003,0,0,0,0,0.001,0.001,0,0,0,0,0,78.52,91.13,100.9,101.27,100.99,101.53,101.74,101.32,99.94,93.48,89.19,89.63,89.72,88.69,86.47,80.22,76.7,71.12,52.55,51.06,72.38
2021-11-24T21:19:23.000Z,19.64,-138.62,38,4,1,23.59,52.19,35.44,1024.26,0.043,201.95,1232.41,13.79,0.00017,0.00043,0.06,36.27,42.17,43.12,42.26,23.46,14.15,8.51,7.46,6.22,0.17,0.08,0.09,0,0.08,0.08,0,0.08,0,0,0,0,0.812,0.752,0.554,0.531,0.184,0.091,0.047,0.042,0.035,0.002,0,0,0.003,0.002,0.002,0,0,0,0,0,0,75.42,87.47,96.73,97.11,96.68,97.1,97.34,96.99,95.61,89.26,85.27,85.63,85.65,84.83,82.62,76.55,73.2,67.92,50.11,48.84,68.98
2021-11-24T21:19:26.000Z,19.64,-138.62,39,4,1,23.58,52.2,35.45,1024.27,0.048,187.26,1213.64,12.79,0.0001,0.00043,-0.01,34.07,39.44,40.07,39.21,21.5,12.73,7.53,6.62,5.47,0.15,0.1,0,0.04,0.04,0,0.06,0,0.09,0,0,0,0.785,0.731,0.541,0.518,0.178,0.088,0.046,0.04,0.034,0,0.002,0,0.001,0.003,0.003,0,0.001,0,0,0,0,74.22,86.15,95.21,95.57,95.22,95.62,95.87,95.51,94.16,87.95,83.91,84.28,84.43,83.5,81.33,75.37,71.97,66.8,49.31,48.01,67.89
2021-11-24T21:19:28.000Z,19.64,-138.62,40,4,1,23.58,52.19,35.44,1024.27,0.048,194.61,1248.38,13.29,0.00007,0.00044,0.14,35.29,41.05,41.95,41.05,22.25,13.13,7.67,6.74,5.57,0.18,0,0,0,0.02,0,0,0,0,0,0,0,0.757,0.704,0.522,0.499,0.171,0.084,0.044,0.038,0.032,0.001,0.001,0.001,0.001,0.003,0.003,0,0,0,0,0,0,76.24,88.47,97.85,98.22,97.85,98.38,98.7,98.24,96.85,90.55,86.43,86.86,86.98,86.03,83.81,77.83,74.26,69.02,50.97,49.57,70.05
2021-11-24T21:19:30.000Z,19.64,-138.62,41,4,1,23.59,52.21,35.46,1024.29,0.048,187.84,1382.7,12.83,0.00012,0.00043,0.03,34.28,39.82,40.64,39.73,21.3,12.47,7.18,6.28,5.23,0.18,0,0.08,0.12,0.06,0,0,0,0,0,0,0,0.743,0.694,0.52,0.497,0.17,0.083,0.043,0.038,0.032,0.002,0.001,0.002,0.002,0.003,0.002,0.001,0,0.001,0,0.001,0,83.44,97.24,108.02,108.42,108.25,108.94,109.35,108.94,107.41,100.61,96.16,96.64,96.68,95.75,93.3,86.6,82.81,76.95,56.71,55.22,78.19
2021-11-24T21:19:33.000Z,19.64,-138.62,42,4,1,23.58,52.2,35.45,1024.29,0.046,185.16,1403.49,12.64,0.00008,0.00043,0.19,33.92,39.56,40.38,39.44,20.82,11.9,6.84,5.94,4.96,0.19,0.04,0.09,0,0,0,0,0,0,0.02,0,0,0.711,0.665,0.499,0.478,0.162,0.079,0.042,0.036,0.031,0.002,0.001,0.002,0.002,0.002,0.002,0,0,0.001,0.001,0.001,0,84.55,98.53,109.57,110,109.93,110.57,110.96,110.54,109.01,102.13,97.66,98.15,98.21,97.24,94.76,88.03,84.13,78.15,57.7,56.18,79.55
2021-11-24T21:19:35.000Z,19.64,-138.62,43,4,1,23.58,52.22,35.47,1024.31,0.045,159.53,1458.85,10.89,0.0001,0.00042,-0.04,29.77,34.95,35.19,34.36,17.57,9.82,5.45,4.69,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0.666,0.627,0.472,0.452,0.15,0.072,0.038,0.033,0.028,0.001,0.001,0.001,0.002,0.002,0.002,0,0,0.001,0.001,0.001,0,87.36,102.09,113.72,114.16,114.18,114.91,115.36,114.96,113.38,106.34,101.67,102.24,102.29,101.27,98.71,91.65,87.72,81.53,60.21,58.56,82.72
2021-11-24T21:19:37.000Z,19.64,-138.62,44,4,1,23.58,52.18,35.44,1024.29,0.048,164.52,1438.25,11.23,0.00011,0.00042,-0.14,30.72,36.19,36.57,35.69,18.04,9.94,5.42,4.62,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.606,0.458,0.439,0.145,0.069,0.036,0.031,0.027,0.001,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0,86.19,100.78,112.17,112.62,112.51,113.32,113.75,113.34,111.82,104.8,100.25,100.7,100.82,99.84,97.26,90.2,86.4,80.27,59.35,57.67,81.55
2021-11-24T21:19:40.000Z,19.64,-138.62,45,4,1,23.58,52.21,35.46,1024.31,0.048,177.38,1345.2,12.11,0.00012,0.0004,0.11,32.77,38.49,39.18,38.27,19.48,10.8,6.01,5.18,4.23,0.15,0,0,0,0,0,0,0,0,0,0,0,0.659,0.629,0.482,0.461,0.153,0.073,0.038,0.033,0.028,0.002,0,0,0.001,0.002,0.001,0,0.001,0.001,0,0,0,81.38,94.84,105.22,105.64,105.39,106,106.35,106,104.53,97.83,93.35,93.94,93.9,92.96,90.61,84.04,80.45,74.68,55.12,53.71,75.87
2021-11-24T21:19:42.000Z,19.64,-138.62,46,4,1,23.58,52.17,35.43,1024.29,0.048,164.56,1391.71,11.24,0.00008,0.00039,0.18,30.78,36.05,36.47,35.57,17.83,9.68,5.28,4.56,3.71,0.16,0.03,0.03,0.06,0.03,0.05,0,0,0,0,0,0,0.633,0.607,0.467,0.447,0.146,0.069,0.036,0.032,0.027,0.002,0,0,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001,0,84.02,97.82,108.75,109.12,109.02,109.75,110.1,109.61,108.13,101.3,96.68,97.26,97.3,96.35,93.86,87.2,83.35,77.34,57.2,55.75,78.54
2021-11-24T21:19:44.000Z,19.64,-138.62,47,4,1,23.58,52.21,35.46,1024.32,0.054,153.41,1556.43,10.47,0.00006,0.00043,0.19,28.99,33.85,34.06,33.2,16.35,8.74,4.71,4.06,3.26,0.15,0.06,0.06,0.03,0,0,0,0,0,0,0,0.02,0.581,0.558,0.43,0.411,0.133,0.063,0.033,0.029,0.025,0.001,0,0,0.002,0.001,0.002,0,0.001,0.001,0,0.001,0,92.33,108.22,121.04,121.51,121.7,122.54,123.16,122.71,121.05,113.82,108.84,109.43,109.6,108.48,105.73,98.26,93.94,87.37,64.57,62.84,88.84
2021-11-24T21:19:46.000Z,19.64,-138.62,48,4,1,23.58,52.17,35.43,1024.3,0.049,145.22,1787.55,9.92,0.00011,0.00041,-0.11,27.62,32.22,32.27,31.46,15.32,8.15,4.34,3.7,2.98,0.13,0.05,0.07,0,0,0,0,0,0.03,0.03,0.05,0.03,0.537,0.515,0.398,0.381,0.122,0.058,0.03,0.027,0.023,0.001,0,0.001,0.001,0.002,0.001,0,0,0,0,0.001,0,104.01,122.74,138.31,138.92,139.41,140.66,141.59,141.07,139.26,131.35,125.9,126.6,126.69,125.51,122.33,113.72,108.78,101.21,75,73.03,102.92
2021-11-24T21:19:48.000Z,19.64,-138.62,49,4,1,23.58,52.2,35.45,1024.32,0.051,150.5,1662.68,10.28,0.00012,0.0004,-0.07,28.35,33.45,33.69,32.84,15.88,8.36,4.4,3.77,3.01,0.17,0,0.05,0,0.08,0,0.02,0.02,0.04,0.06,0.08,0,0.52,0.503,0.393,0.376,0.121,0.056,0.03,0.026,0.023,0.001,0.001,0.001,0.001,0.002,0.001,0,0,0,0,0,0.001,97.72,114.83,128.88,129.39,129.83,130.88,131.62,131.16,129.43,121.86,116.72,117.36,117.5,116.28,113.34,105.47,100.84,93.63,69.44,67.53,95.32
2021-11-24T21:19:50.000Z,19.64,-138.62,50,4,1,23.58,52.17,35.43,1024.31,0.058,140.71,1446.3,9.61,0.00007,0.0004,0.04,26.83,31.55,31.59,30.76,14.57,7.55,3.93,3.36,2.65,0.12,0,0.04,0,0.06,0.04,0,0,0,0,0.05,0,0.497,0.483,0.379,0.363,0.116,0.054,0.029,0.025,0.022,0.001,0,0.001,0.001,0.002,0.001,0,0,0,0,0,0.001,86.48,101.06,112.62,113.08,113.15,113.86,114.46,114,112.43,105.47,100.88,101.4,101.55,100.5,97.97,91.09,87.09,80.93,59.68,58.19,82.14
2021-11-24T21:19:53.000Z,19.64,-138.62,51,4,1,23.58,52.21,35.46,1024.34,0.05,135.55,1446.94,9.25,0.0001,0.0004,0.04,26.05,30.48,30.52,29.69,13.91,7.08,3.67,3.13,2.49,0.12,0,0,0.05,0,0.02,0,0.02,0,0.02,0,0,0.463,0.452,0.358,0.343,0.108,0.051,0.028,0.024,0.02,0.002,0.001,0.001,0.002,0.002,0.001,0,0,0,0.001,0,0.001,86.59,101.25,112.86,113.28,113.18,113.96,114.47,114.07,112.45,105.5,100.87,101.39,101.52,100.47,97.87,90.96,86.84,80.8,59.7,58.16,82.15
2021-11-24T21:19:55.000Z,19.64,-138.62,52,4,1,23.58,52.17,35.43,1024.32,0.06,133.39,1477.62,9.11,0.00013,0.00042,0,25.66,30.08,30.08,29.25,13.65,6.88,3.51,2.98,2.39,0.15,0,0,0,0,0,0,0.02,0,0,0,0.02,0.442,0.435,0.346,0.331,0.104,0.049,0.027,0.023,0.02,0.002,0.001,0.001,0.001,0.002,0.002,0,0.001,0,0.001,0,0,88.52,103.42,115.25,115.7,115.66,116.47,116.97,116.51,114.91,107.75,102.91,103.43,103.45,102.45,99.86,92.85,88.77,82.4,60.89,59.31,83.74
2021-11-24T21:19:57.000Z,19.64,-138.62,53,4,1,23.57,52.21,35.46,1024.35,0.061,129.81,1433.02,8.86,0.00009,0.0004,0.09,25.06,29.45,29.38,28.55,13.06,6.52,3.28,2.79,2.22,0.15,0.06,0,0.04,0.02,0.03,0,0,0.03,0.03,0,0,0.417,0.415,0.334,0.32,0.1,0.047,0.025,0.022,0.019,0.002,0.001,0.001,0.001,0.002,0.003,0,0.001,0,0.001,0,0,86.22,100.52,111.95,112.34,112.16,112.94,113.34,112.88,111.36,104.42,99.69,100.25,100.38,99.4,96.84,89.88,86.16,79.89,58.99,57.41,81.2
2021-11-24T21:19:59.000Z,19.64,-138.62,54,4,1,23.57,52.18,35.44,1024.34,0.071,121.23,1457.79,8.28,0.00008,0.00044,0.03,23.64,27.7,27.51,26.72,12.03,5.85,2.95,2.48,1.97,0.13,0.02,0,0,0,0,0,0,0,0.03,0.01,0,0.392,0.392,0.317,0.303,0.095,0.044,0.024,0.02,0.018,0.001,0,0,0.002,0.002,0.002,0,0.001,0,0.001,0.001,0,87.47,102.15,113.73,114.14,114.19,114.74,115.26,114.81,113.35,106.32,101.5,102.12,102.16,101.2,98.58,91.59,87.63,81.38,60.06,58.63,82.81
2021-11-24T21:20:01.000Z,19.64,-138.62,55,4,1,23.57,52.19,35.45,1024.35,0.073,118.92,1466.81,8.12,0.00007,0.00048,0.2,23.24,27.26,27.07,26.3,11.72,5.68,2.81,2.36,1.86,0.1,0,0.02,0,0.03,0,0.03,0,0.03,0,0,0,0.361,0.365,0.299,0.286,0.09,0.041,0.022,0.019,0.017,0,0,0,0.002,0.003,0.003,0,0,0,0,0,0,87.55,102.31,114.19,114.63,114.63,115.47,116.01,115.54,114.04,107.22,102.47,102.98,103.08,102.1,99.42,92.54,88.58,82.27,60.86,59.36,83.69
2021-11-24T21:20:03.000Z,19.64,-138.62,56,4,1,23.46,52.04,35.42,1024.36,0.076,118.16,1779.09,8.07,0.00014,0.00045,0.09,23.04,27.14,26.98,26.21,11.61,5.61,2.71,2.29,1.79,0.1,0.03,0.03,0.05,0.04,0,0,0,0,0,0,0,0.347,0.354,0.293,0.28,0.088,0.04,0.022,0.019,0.016,0,0,0,0.002,0.002,0.003,0,0,0,0,0,0,103.48,122.1,137.62,138.19,138.69,139.88,140.89,140.42,138.61,130.72,125.47,126.12,126.17,124.92,121.76,113.5,108.64,101.03,74.82,72.92,102.85
2021-11-24T21:20:05.000Z,19.64,-138.62,57,4,1,23.23,51.83,35.44,1024.45,0.096,115.44,1893.44,7.88,0.00018,0.00052,0.05,22.54,26.6,26.44,25.68,11.23,5.32,2.58,2.17,1.69,0.1,0.03,0.05,0,0,0,0,0,0,0,0,0,0.322,0.331,0.276,0.265,0.082,0.037,0.02,0.017,0.014,0,0,0,0.001,0.002,0.002,0,0,0,0,0,0,109.2,129.13,145.94,146.61,147.28,148.79,149.91,149.41,147.54,139.51,134.05,134.77,134.78,133.58,130.22,121.37,116.25,108.08,79.94,78,109.97
2021-11-24T21:20:07.000Z,19.64,-138.62,58,4,1,23.11,51.7,35.44,1024.49,0.107,110.96,1914.77,7.58,0.00025,0.00052,0.11,21.66,25.67,25.55,24.8,10.68,4.98,2.36,2.01,1.53,0.12,0.06,0.07,0,0.03,0,0,0,0,0,0,0,0.302,0.313,0.263,0.252,0.078,0.036,0.019,0.017,0.014,0.001,0,0,0.001,0.001,0.002,0,0,0,0,0,0,110.3,130.55,147.6,148.29,148.96,150.46,151.62,151.09,149.23,141.11,135.61,136.26,136.31,135.14,131.73,122.9,117.73,109.49,81.02,79.01,111.43
